epoch,accuracy,auc,f1_score,loss,precision,recall
0,0.37098175287246704,0.5344561338424683,"""[0.3603386, 0.1309255, 0.48255816]""",1.0943562984466553,0.0,0.0
1,0.5030408501625061,0.6583538055419922,"""[0.5330813, 0.0, 0.64635473]""",1.0683093070983887,0.0,0.0
2,0.5065160989761353,0.7079339027404785,"""[0.52762926, 0.0061349696, 0.66978925]""",1.0341718196868896,0.5070422887802124,0.09383145719766617
3,0.5621199011802673,0.7721642851829529,"""[0.53672874, 0.649635, 0.5320601]""",0.9901133179664612,0.5278810262680054,0.12337098270654678
4,0.6776716113090515,0.8227564096450806,"""[0.53032446, 0.7745665, 0.7192009]""",0.8479673266410828,0.6795952916145325,0.3501303195953369
5,0.6759340167045593,0.8601726293563843,"""[0.447205, 0.66416985, 0.85880977]""",0.699315071105957,0.6798561215400696,0.6568201780319214
6,0.6750651597976685,0.8594610691070557,"""[0.5445421, 0.6085272, 0.81496465]""",0.7031772136688232,0.6772487163543701,0.6672458648681641
7,0.6594266295433044,0.8528220653533936,"""[0.29924244, 0.7713499, 0.76335883]""",0.6929593682289124,0.6616474986076355,0.649000883102417
8,0.6707211136817932,0.8639612793922424,"""[0.5371578, 0.78639454, 0.69250005]""",0.6710131168365479,0.6816927790641785,0.6437880396842957
9,0.7419635057449341,0.8955848813056946,"""[0.68476987, 0.8607199, 0.7083334]""",0.6574397683143616,0.7562141418457031,0.6872285008430481
10,0.7593397498130798,0.9084855318069458,"""[0.7002653, 0.8697124, 0.737722]""",0.6493249535560608,0.7798254489898682,0.6985230445861816
11,0.8218940496444702,0.9393088817596436,"""[0.7985348, 0.89220566, 0.79545456]""",0.5729868412017822,0.8517441749572754,0.7636837959289551
12,0.8601216673851013,0.9564419984817505,"""[0.8333333, 0.9329174, 0.83065516]""",0.4949275255203247,0.887417197227478,0.8149435520172119
13,0.8792354464530945,0.9483425617218018,"""[0.85574573, 0.928047, 0.86176836]""",0.4764026999473572,0.8959853649139404,0.853171169757843
14,0.9139878749847412,0.955482542514801,"""[0.9029126, 0.9378698, 0.90523696]""",0.36081233620643616,0.9198943376541138,0.907906174659729
15,0.927888810634613,0.9736964702606201,"""[0.9133089, 0.9244714, 0.9451889]""",0.26150453090667725,0.9335083365440369,0.9270200133323669
16,0.9409209489822388,0.9810056686401367,"""[0.9404618, 0.9266771, 0.9522672]""",0.218136265873909,0.9416376352310181,0.9391833543777466
17,0.9383145570755005,0.9818695783615112,"""[0.9371147, 0.9293563, 0.9461359]""",0.2164948284626007,0.9415867328643799,0.9383145570755005
18,0.9556907415390015,0.9847237467765808,"""[0.94969326, 0.95341617, 0.9632266]""",0.17874419689178467,0.9572052955627441,0.9522154927253723
19,0.966985285282135,0.9896765947341919,"""[0.9601931, 0.95531595, 0.98300976]""",0.14345963299274445,0.9703056812286377,0.965247631072998
20,0.966985285282135,0.9895378947257996,"""[0.9568346, 0.9602447, 0.9828011]""",0.1398521065711975,0.970331609249115,0.9661164283752441
21,0.9713293313980103,0.9922792911529541,"""[0.96269566, 0.95877874, 0.99019617]""",0.12198865413665771,0.9738448262214661,0.9704604744911194
22,0.9713293313980103,0.9943797588348389,"""[0.9647631, 0.95902884, 0.9878049]""",0.11139415204524994,0.9721739292144775,0.9713293313980103
23,0.9704604744911194,0.9945086240768433,"""[0.96359223, 0.9574469, 0.9878049]""",0.10939802974462509,0.9713043570518494,0.9704604744911194
24,0.9721981287002563,0.9948031902313232,"""[0.9660195, 0.96048635, 0.9878049]""",0.10381504893302917,0.9721981287002563,0.9721981287002563
25,0.9721981287002563,0.9952771067619324,"""[0.9648485, 0.96048635, 0.989011]""",0.10051637887954712,0.9721981287002563,0.9721981287002563
26,0.9730669260025024,0.9955611228942871,"""[0.9661017, 0.96048635, 0.99022007]""",0.09656819701194763,0.973020076751709,0.9713293313980103
27,0.9774109721183777,0.9959365725517273,"""[0.9711539, 0.96793896, 0.99141103]""",0.08619464188814163,0.9790940880775452,0.9765421748161316
28,0.9730669260025024,0.9960549473762512,"""[0.9647631, 0.9593985, 0.992629]""",0.09153620898723602,0.9730435013771057,0.9721981287002563
29,0.9739357233047485,0.9960962533950806,"""[0.9684466, 0.9593985, 0.9913898]""",0.09152323752641678,0.9747607111930847,0.9730669260025024
30,0.9791486263275146,0.9915370345115662,"""[0.975381, 0.96875, 0.9913473]""",0.10783246904611588,0.9791304469108582,0.9782797694206238
31,0.9721981287002563,0.9897494316101074,"""[0.96639633, 0.9588608, 0.9888477]""",0.13078495860099792,0.9721981287002563,0.9721981287002563
32,0.9721981287002563,0.9908341765403748,"""[0.96759266, 0.9589906, 0.98756224]""",0.12941096723079681,0.9721739292144775,0.9713293313980103
33,0.9713293313980103,0.9920014142990112,"""[0.96962625, 0.9540412, 0.98650306]""",0.1222134679555893,0.9713293313980103,0.9713293313980103
