epoch,accuracy,auc,loss,precision,recall
0,0.38488271832466125,0.5530904531478882,1.0924345254898071,0.0,0.0
1,0.40052130818367004,0.6133327484130859,1.585645318031311,0.3937007784843445,0.04344048723578453
2,0.4656820297241211,0.6719369888305664,1.7044320106506348,0.3385826647281647,0.03735882043838501
3,0.5708079934120178,0.7892183661460876,1.016442894935608,0.5925925970077515,0.013900956138968468
4,0.6950477957725525,0.8358733057975769,0.9779917597770691,0.8500000238418579,0.04430929943919182
5,0.8792354464530945,0.9237140417098999,0.9278358221054077,0.9666666984558105,0.02519548311829567
6,0.9478714466094971,0.9600570201873779,0.8176404237747192,1.0,0.2067767232656479
7,0.8462207317352295,0.8741484880447388,0.8972208499908447,0.846666693687439,0.6620330214500427
8,0.8479583263397217,0.8950221538543701,0.732789158821106,0.8703517317771912,0.7523892521858215
9,0.8575152158737183,0.9154669046401978,0.6206067204475403,0.8666053414344788,0.8184188008308411
10,0.9026933312416077,0.9535797834396362,0.40914082527160645,0.9131206274032593,0.8948740363121033
11,0.9052997827529907,0.9754905104637146,0.3251503109931946,0.9116607904434204,0.8966116905212402
12,0.945264995098114,0.9890352487564087,0.35488954186439514,0.9671532511711121,0.9209383726119995
13,0.8314509391784668,0.9467427730560303,0.4713197350502014,0.8483754396438599,0.8166811466217041
14,0.8948740363121033,0.9628099203109741,0.3433273136615753,0.9113924503326416,0.8757602572441101
15,0.9322328567504883,0.9867291450500488,0.2774829864501953,0.9522092342376709,0.9174631237983704
16,0.965247631072998,0.996902585029602,0.2567787766456604,0.9824885129928589,0.9261512160301208
17,0.9887055158615112,0.9994661808013916,0.17335274815559387,0.9912357926368713,0.982623815536499
18,0.9921807646751404,0.9997039437294006,0.10354875773191452,0.9938918352127075,0.9895743131637573
19,0.9887055158615112,0.9986863732337952,0.07435578107833862,0.9895652532577515,0.9887055158615112
20,0.9756733775138855,0.9984426498413086,0.11457756161689758,0.9806678295135498,0.9695916771888733
21,0.9139878749847412,0.9838000535964966,0.24249249696731567,0.920035183429718,0.909643828868866
22,0.9218071699142456,0.9810070991516113,0.2589641213417053,0.9293910264968872,0.9148566722869873
23,0.927888810634613,0.9861974716186523,0.22175392508506775,0.9372237324714661,0.9209383726119995
24,0.817550003528595,0.8971381187438965,0.6905229091644287,0.8211454153060913,0.8097307085990906
25,0.8001737594604492,0.9292710423469543,0.5318233370780945,0.8626866340637207,0.7532580494880676
26,0.9721981287002563,0.9980131387710571,0.1705283373594284,0.9821428656578064,0.9556907415390015
27,0.9782797694206238,0.9989680051803589,0.12143632769584656,0.9859278798103333,0.9739357233047485
28,0.966985285282135,0.9949774742126465,0.12237486988306046,0.970331609249115,0.9661164283752441
29,0.9878367185592651,0.9996219873428345,0.09095755219459534,0.9886463284492493,0.9834926724433899
30,0.9939183592796326,0.9999264478683472,0.05433620512485504,0.9956446290016174,0.9930495619773865
31,0.9956559538841248,0.999961256980896,0.030048955231904984,0.9965187311172485,0.9947871565818787
32,0.9947871565818787,0.9999675154685974,0.025685271248221397,0.9956484436988831,0.9939183592796326
33,0.9973936080932617,0.9999737739562988,0.019063206389546394,0.9973913431167603,0.9965248107910156
34,0.9982624053955078,0.9999939799308777,0.013316863216459751,0.9982609152793884,0.9973936080932617
35,0.9991312026977539,0.9999958276748657,0.011069935746490955,0.9991304278373718,0.9982624053955078
36,0.9991312026977539,0.9999973177909851,0.009733210317790508,0.9991304278373718,0.9982624053955078
37,0.9991312026977539,0.9999980926513672,0.008530789986252785,0.9991312026977539,0.9991312026977539
38,0.9991312026977539,0.9999988079071045,0.007395246531814337,0.9991312026977539,0.9991312026977539
39,0.9991312026977539,0.9999995827674866,0.006217126734554768,1.0,0.9991312026977539
40,1.0,1.0,0.005392728839069605,1.0,0.9991312026977539
41,1.0,0.9999999403953552,0.00484061473980546,1.0,0.9991312026977539
42,1.0,1.0,0.004126215819269419,1.0,0.9991312026977539
43,1.0,1.0,0.003770595183596015,1.0,0.9991312026977539
44,1.0,1.0,0.0033814366906881332,1.0,0.9991312026977539
45,1.0,1.0,0.002998541807755828,1.0,1.0
46,1.0,1.0,0.002585743786767125,1.0,1.0
47,1.0,1.0,0.0022566532716155052,1.0,1.0
48,1.0,1.0,0.0019357982091605663,1.0,1.0
49,1.0,1.0,0.0017364220693707466,1.0,1.0
50,1.0,1.0,0.0015826259041205049,1.0,1.0
51,0.9991312026977539,0.9999988675117493,0.003346989629790187,0.9991312026977539,0.9991312026977539
52,0.9878367185592651,0.9992486238479614,0.043965213000774384,0.9886956810951233,0.9878367185592651
53,0.9982624053955078,0.9999943375587463,0.011076346971094608,0.9982624053955078,0.9982624053955078
54,0.9973936080932617,0.9999856352806091,0.019563158974051476,0.9982593655586243,0.9965248107910156
55,0.9982624053955078,0.9999951124191284,0.020869622007012367,0.9991304278373718,0.9982624053955078
56,0.9991312026977539,0.9999977350234985,0.01906672678887844,1.0,0.9991312026977539
57,0.9991312026977539,0.9999996423721313,0.0163172148168087,1.0,0.9991312026977539
58,0.9991312026977539,0.9999996423721313,0.013363530859351158,1.0,0.9991312026977539
59,0.9991312026977539,0.9999996423721313,0.010684549808502197,1.0,0.9991312026977539
60,0.9991312026977539,0.9999996423721313,0.008676378056406975,1.0,0.9991312026977539
61,1.0,0.9999999403953552,0.007271168753504753,1.0,0.9991312026977539
62,1.0,1.0,0.005985830444842577,1.0,0.9991312026977539
